Fund Name,,,,RP,PM,TER,MF,SAM,ReturnMTD,ReturnYTD,NAV,Date,AUM
MCB DCF Fixed Return III (Plan III),,,,-,-,0.41%,1.75%,-,3188.69%,46.45%,130.418,2025-05-02,"1,816,440,000"
NBP Fixed Term Munafa Plan XIV( NBP Mustahkam Fund II),,,,-,-,0.89%,24.72%,-,2837.51%,38.41%,11.541,2025-05-02,"525,000,000"
MCB DCF Fixed Return II (Plan V),,,,-,-,0.48%,1.73%,-,953.76%,23.97%,111.231,2025-05-02,"1,096,240,000"
Meezan Paidaar Munafa Plan XII,,,,-,-,1.1%,0.78%,0.18%,275.87%,38.02%,57.8691,2025-05-22,"861,980,000"
NBP Islamic Fixed Term Munafa Plan III,,,,-,-,1%,0.96%,-,255.02%,36.89%,11.5387,2025-05-23,"3,087,000,000"
MCB Pakistan Fixed Return Plan 22,,,,-,-,0.64%,1.75%,-,218.81%,31.8%,107.108,2025-05-15,"1,683,120,000"
AKD Aggressive Income Fund,,,,Medium,Forward,2.78%,1.9%,0.2%,185.06%,31.68%,66.3225,2025-05-27,"889,930,000"
MCB Pakistan Fixed Return Plan 24,,,,-,-,0.37%,1.75%,-,73.94%,23.86%,102.486,2025-05-15,"4,889,230,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XI),,,,-,-,0.73%,0.2%,0.3%,37.36%,13.24%,107.509,2025-05-27,"1,283,140,000"
Meezan Paidaar Munafa Plan XVII,,,,-,-,0.29%,0.13%,-,37.1%,22.31%,50.9238,2025-05-26,"10,814,000,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan I),,,,-,-,0.9%,0.2%,0.3%,35.9%,23.33%,122.889,2025-05-27,"2,132,970,000"
NBP Income Opportunity Fund,,,,-,-,2%,1.41%,0.5%,31.54%,18.56%,12.7008,2025-05-27,"8,352,000,000"
Alfalah GHP Pension Fund,,,,-,Forward,1.58%,0.56%,-,29.62%,18.94%,227.431,2025-05-27,"132,060,000"
Lakson Income Fund,,,,Medium,Forward,1.51%,1.5%,0.75%,26.43%,18.5%,119.048,2025-05-27,"15,058,000,000"
Alfalah Government Securities Fund Plan I,,,,-,-,1.08%,0.5%,0.7%,24.61%,16.58%,110.182,2025-05-27,"5,478,330,000"
Alfalah Stable Return Plan IV,,,,-,-,0.6%,1.5%,-,24.28%,21.71%,115.081,2025-05-27,"3,189,100,000"
AL Habib Fixed Return Fund Plan 19,,,,-,-,0.42%,0.11%,0.1%,24.25%,15.33%,103.445,2025-05-27,"68,420,000"
Al Ameen Islamic Sovereign Fund,,,,-,-,1.25%,1%,-,24.08%,15.19%,115.698,2025-05-28,"8,729,190,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan X),,,,-,-,0.67%,0.2%,0.3%,24.04%,14.73%,106.981,2025-05-27,"15,289,800,000"
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan I),,,,-,-,0.32%,0.13%,-,23.93%,18.1%,115.057,2025-05-27,"3,205,360,000"
Alfalah Government Securities Fund - II (Formerly: Faysal Government Securities Fund),,,,-,-,1.02%,0.76%,0.3%,23.85%,16.94%,145.34,2025-05-27,"2,693,080,000"
UBL Government Securities Fund,,,,-,-,1.47%,1%,-,23.23%,19.39%,124.756,2025-05-28,"11,969,800,000"
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan II),,,,Low,Forward,2.45%,2%,0.4%,22.89%,16.07%,112.447,2025-05-27,"3,885,750,000"
Alfalah GHP Sovereign Fund,,,,Medium,Forward,2.87%,2%,0.62%,21.8%,17.4%,124.65,2025-05-27,"10,307,300,000"
Faysal Islamic Special Income Plan I,,,,-,-,1.11%,0.15%,0.01%,21.58%,14.11%,11.3779,2025-05-28,"135,370,000"
NBP Islamic Fixed Term Munafa Plan III ↑,"11.54
3,087,000,000",58.6555%
Meezan Paidaar Munafa Plan XII ↑,"57.87
861,980,000",58.4029%
MCB Pakistan Fixed Return Plan 22 ↑,"107.11
1,683,120,000",31.0834%
,,
MCB DCF Fixed Return III (Plan IV),,,,-,-,0.5%,0.31%,-,21.41%,15.32%,109.615,2025-05-27,"539,990,000"
Alfalah GHP Islamic Pension Fund,,,,-,Forward,1.4%,0.54%,-,21.21%,18.22%,196.396,2025-05-27,"171,430,000"
Alfalah Government Securities Fund Plan II,,,,-,-,0.84%,0.82%,0.13%,21.13%,13.64%,103.989,2025-05-27,"867,640,000"
UBL Special Savings Plan X,,,,-,-,1.17%,1%,-,20.89%,18.83%,117.689,2025-05-28,"977,850,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XIII),,,,-,-,0.75%,0.2%,0.3%,20.75%,12.28%,104.44,2025-05-27,"6,465,870,000"
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan II),,,,Medium,Forward,2.63%,0.97%,0.43%,20.72%,15.68%,122.812,2025-05-27,"2,944,230,000"
Pakistan Income Enhancement Fund,,,,-,-,2.07%,1.32%,0.3%,20.64%,17.97%,63.8884,2025-05-27,"3,911,050,000"
MCB Pakistan Sovereign Fund,,,,-,-,2%,1.38%,0.3%,20.62%,18.83%,63.22,2025-05-27,"29,620,700,000"
Alfalah GHP Income Multiplier Fund,,,,Medium,Forward,2.89%,1.74%,0.41%,20.5%,14.88%,61.711,2025-05-27,"1,114,610,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XIV),,,,-,-,0.71%,0.2%,0.3%,20.35%,12.57%,103.134,2025-05-27,"5,382,930,000"
MCB DCF Fixed Return II (Plan I),,,,-,-,1.04%,1.75%,-,20.35%,16.37%,110.39,2025-05-02,"122,500,000"
HBL Islamic Pension Fund,,,,-,Forward,1%,0.75%,-,20.05%,17.18%,309.23,2025-05-27,"475,180,000"
MCB Government Securities Plan I,,,,-,-,1.6%,1.41%,-,19.91%,12.92%,107.111,2025-05-27,"22,879,900,000"
Faysal Islamic Pension Fund,,,,-,Forward,1.37%,1.19%,-,19.87%,15.62%,166.902,2025-05-27,"119,560,000"
Alfalah Stable Return Fund Plan XX,,,,-,-,1%,0.7%,-,19.6%,19.6%,100.645,2025-05-27,-
Pakistan Pension Fund,,,,-,Forward,1.76%,1.3%,-,19.58%,20.05%,591.09,2025-05-27,"2,085,690,000"
Faysal Islamic Savings Growth Fund,,,,Medium,Forward,2.4%,1.93%,2%,19.55%,15.84%,120.517,2025-05-27,"2,459,020,000"
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan I),,,,Low,Forward,2.45%,2%,0.75%,19.3%,12.64%,112.142,2025-05-27,"2,228,630,000"
JS Government Securities Fund,,,,-,-,2.06%,2%,1.07%,19.15%,16.08%,112.226,2025-05-27,"6,365,500,000"
UBL Growth & Income Fund,,,,-,-,1.95%,2%,-,19.07%,35.88%,113.159,2025-05-28,"2,875,510,000"
Pak Qatar Income Plan,,,,-,-,0.96%,0.45%,0.5%,19%,16.6%,116.552,2025-05-27,"11,756,900,000"
Alhamra Government Securities Plan I,,,,-,-,1.8%,0.88%,-,18.58%,14.98%,113.582,2025-05-27,"458,000,000"
UBL Fixed Return Plan II (W),,,,-,-,0.83%,0.36%,-,18.45%,7.55%,102.936,2025-05-15,"306,490,000"
Pak Qatar Islamic Pension Fund,,,,-,-,2.27%,1.25%,0.5%,18.34%,15.92%,150.719,2025-05-27,"27,750,000"
NAFA Pension Fund,,,,-,Forward,1.47%,1.12%,0.5%,18.32%,16.78%,359.814,2025-05-27,"2,272,000,000"
HBL Government Securities Fund,,,,-,-,2.15%,1.72%,0.15%,18.01%,19.74%,133.749,2025-05-27,"11,375,000,000"
Alhamra Islamic Income Fund,,,,Medium,Forward,1.63%,1.05%,0.3%,17.96%,15.43%,118.626,2025-05-27,"22,388,300,000"
NBP Islamic Government Securities Plan III,,,,-,-,1.24%,1.18%,0.4%,17.91%,18.06%,11.414,2025-05-27,"3,698,000,000"
ABL Pension Fund,,,,-,Forward,0.02%,1.25%,3%,17.88%,17.03%,338.339,2025-05-27,"320,000,000"
Al Ameen Islamic Fixed Term Plan I (Q),,,,-,-,0.11%,-19.83%,-,17.77%,12.7%,102.713,2025-04-30,"2,224,000,000"
UBL Retirement Saving Fund,,,,-,-,1.54%,1.4%,-,17.56%,18.1%,505.629,2025-05-28,"2,348,990,000"
Alfalah Islamic Stable Return Fund Plan IV,,,,-,-,1.02%,1%,-,17.44%,19.06%,116.214,2025-05-23,"1,241,230,000"
NBP Government Securities Savings Fund,,,,-,-,1.48%,1.23%,0.8%,17.38%,17.21%,12.1253,2025-05-27,"8,082,000,000"
ABL Income Fund,,,,Medium,Forward,1.72%,1.25%,100%,17.37%,16.89%,11.7447,2025-05-27,"4,033,000,000"
AL Habib Fixed Return Fund Plan 20,,,,-,-,0.23%,0.07%,0.07%,17.35%,11.56%,102.598,2025-05-27,"1,710,370,000"
