symbol,name,reported_date,reported_period,eps_estimate,revenue,market_cap,dividend,earning,basic_eps,net_income,fy_revenue,shares,beta,employees,change,emp_revenue,emp_income,sector,industry,ceo,website,headquater,founded,figi
A,"Agilent Technologies, Inc.","≈
August 19",Q3 2025,1.37 USD,‪1.66 B‬ USD,‪34.26 B‬ USD,0.85%,28.56,4.07 USD,‪1.29 B‬ USD,‪6.51 B‬ USD,‪282.92 M‬,0.84,‪17.9 K‬,−200 −1.10%,‪363.69 K‬ USD,‪72.01 K‬ USD,Health Technology,Medical Specialties,Padraig Mcdonnell,agilent.com,Santa Clara,1999,BBG000C2V3D6
AA,Alcoa Corporation,"≈
July 16",Q2 2025,0.75 USD,‪2.96 B‬ USD,‪7.50 B‬ USD,1.40%,8.29,3.40 USD,‪60.00 M‬ USD,‪12.18 B‬ USD,‪257.80 M‬,1.88,‪13.9 K‬,,‪876.55 K‬ USD,‪4.32 K‬ USD,Non-Energy Minerals,Aluminum,William F. Oplinger,alcoa.com,Pittsburgh,1886,BBG00B3T3HD3
AACB,Artius II Acquisition Inc.,‪297.23 M‬ USD,,—,—,1,0.00 USD,‪−85.27 K‬ USD,,,,,,Industry,,,,,,"Q3 '24
Q1 '25",,,,
AACT,Ares Acquisition Corporation II,‪703.98 M‬ USD,,31.54,0.36 USD,4,0,0.00 USD,‪6.50 M‬ USD,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
AAL,"American Airlines Group, Inc.","≈
July 17",Q2 2025,,,"≈
July 17",Q2 2025,0.78 USD,‪14.27 B‬ USD,,,,,‪7.75 B‬ USD,,13.60,1.04 USD,,,,,,,
AAM,AA Mission Acquisition Corp.,‪549.66 M‬ USD,,49.50,0.21 USD,2,0.00 USD,‪2.93 M‬ USD,,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
AAME,Atlantic American Corporation,‪36.31 M‬ USD,,—,−0.09 USD,156,+1 +0.65%,‪1.21 M‬ USD,‪−27.36 K‬ USD,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
AAMI,Acadian Asset Management Inc.,"≈
July 24",Q2 2025,0.52 USD,‪117.60 M‬ USD,‪1.13 B‬ USD,0.13%,12.58,2.42 USD,‪85.00 M‬ USD,‪515.30 M‬ USD,‪35.13 M‬,1.24,383,−4 −1.03%,‪1.35 M‬ USD,‪221.93 K‬ USD,Finance,Investment Managers,Kelly Ann Louise Young,acadian-inc.com,Boston,1980,BBG00P2HLNY3
AAOI,"Applied Optoelectronics, Inc.","≈
July 31",Q2 2025,−0.08 USD,‪104.96 M‬ USD,‪902.60 M‬ USD,—,—,−3.87 USD,‪−186.73 M‬ USD,‪249.37 M‬ USD,‪51.66 M‬,3.74,‪3.31 K‬,,‪75.36 K‬ USD,‪−56.43 K‬ USD,Electronic Technology,Semiconductors,Chih Hsiang Lin,ao-inc.com,Sugar Land,1997,BBG000D6VW15
AAON,"AAON, Inc.","≈
July 31",Q2 2025,0.43 USD,‪346.27 M‬ USD,‪6.55 B‬ USD,0.41%,50.79,1.95 USD,‪168.56 M‬ USD,‪1.20 B‬ USD,‪67.22 M‬,1.59,‪4.81 K‬,,‪249.51 K‬ USD,‪35.03 K‬ USD,Producer Manufacturing,Industrial Machinery,Matthew J. Tobolski,aaon.com,Tulsa,1987,BBG000C2LZP3
AAP,Advance Auto Parts Inc.,19 days ago,Q1 2025,0.53 USD,‪2.50 B‬ USD,‪3.17 B‬ USD,1.92%,—,−5.89 USD,‪−335.79 M‬ USD,‪9.09 B‬ USD,‪58.97 M‬,0.59,‪62.8 K‬,‪−6.2 K‬ −8.99%,‪144.81 K‬ USD,‪−9.35 K‬ USD,Retail Trade,Specialty Stores,Shane M. O'Kelly,advanceautoparts.com,Raleigh,1929,BBG000F7RCJ1
AAPL,Apple Inc,"≈
July 23",Q3 2025,,,"≈
July 23",Q3 2025,1.42 USD,‪88.81 B‬ USD,,,,,‪3.02 T‬ USD,,31.82,6.44 USD,,,,,,,
AARD,"Aardvark Therapeutics, Inc.",—,,—,—,‪253.41 M‬ USD,—,—,−3.16 USD,‪−20.59 M‬ USD,0.00 USD,‪12.39 M‬,1.01,22,,‪−935.82 K‬ USD,,Health Technology,Pharmaceuticals: Major,Tien Li Lee,aardvarktherapeutics.com,San Diego,2017,BBG01223DLB2
AB,AllianceBernstein Holding L.P.,"≈
July 24",Q2 2025,0.76 USD,‪870.88 M‬ USD,‪4.51 B‬ USD,8.31%,10.99,3.71 USD,‪423.37 M‬ USD,0.00 USD,‪104.74 M‬,0.68,‪4.34 K‬,−366 −7.78%,0.00 USD,‪97.53 K‬ USD,Finance,Investment Managers,Seth Perry Bernstein,alliancebernstein.com,Nashville,1967,BBG000B9WM03
ABAT,American Battery Technology Company,"≈
September 24",Q4 2025,0.08 USD,‪30.00 M‬ USD,‪126.80 M‬ USD,—,—,−0.85 USD,‪−52.50 M‬ USD,‪343.50 K‬ USD,‪88.64 M‬,1.12,98,,‪3.51 K‬ USD,‪−535.73 K‬ USD,Non-Energy Minerals,Other Metals/Minerals,Ryan Melsert,americanbatterytechnology.com,Reno,2011,BBG004M1KJN5
ABBV,AbbVie Inc.,—,,—,‪14.95 B‬ USD,‪335.62 B‬ USD,3.47%,80.94,2.35 USD,‪4.24 B‬ USD,‪56.33 B‬ USD,‪1.76 B‬,0.33,‪55 K‬,,‪1.02 M‬ USD,‪77.05 K‬ USD,Health Technology,Pharmaceuticals: Major,Robert A. Michael,abbvie.com,North Chicago,2011,BBG0025Y4RY4
ABCB,Ameris Bancorp,—,,1.33 USD,—,‪4.36 B‬ USD,1.29%,11.57,5.41 USD,‪358.69 M‬ USD,‪1.55 B‬ USD,‪65.01 M‬,1.15,‪2.69 K‬,−74 −2.68%,‪575.87 K‬ USD,‪133.29 K‬ USD,Finance,Regional Banks,H. Palmer Proctor,amerisbank.com,Atlanta,1971,BBG000CDY3H5
ABCL,AbCellera Biologics Inc.,—,,—,—,‪749.20 M‬ USD,—,—,−0.57 USD,‪−162.86 M‬ USD,‪28.83 M‬ USD,‪223.95 M‬,1.34,596,,‪48.38 K‬ USD,‪−273.25 K‬ USD,Health Technology,Biotechnology,Carl Lars G. Hansen,abcellera.com,Vancouver,2012,BBG00LLW2MF2
ABEO,Abeona Therapeutics Inc.,—,,−0.38 USD,—,‪326.89 M‬ USD,—,—,−0.89 USD,‪−63.73 M‬ USD,0.00 USD,‪45.22 M‬,1.50,136,,0.00 USD,‪−468.63 K‬ USD,Health Technology,Pharmaceuticals: Major,Vishwas Seshadri,abeonatherapeutics.com,Cleveland,1974,BBG000DT5D52
ABG,Asbury Automotive Group Inc,—,,—,—,‪4.67 B‬ USD,—,11.04,21.12 USD,‪430.30 M‬ USD,‪17.19 B‬ USD,‪19.48 M‬,1.02,‪15 K‬,,‪1.15 M‬ USD,‪28.69 K‬ USD,Retail Trade,Specialty Stores,David W. Hult,asburyauto.com,Duluth,1995,BBG000BKDWB5
